,country,year,type,TN,TP,accuracy
2,AT,1998,DT,0.6242568370986921,0.3559322033898305,0.6151636990235497
7,AT,1998,DT,0.6242568370986921,0.3559322033898305,0.6151636990235497
3,AT,1998,LDA,0.6741973840665874,0.3050847457627119,0.6616886846639862
8,AT,1998,LDA,0.6741973840665874,0.3050847457627119,0.6616886846639862
1,AT,1998,LR,0.6741973840665874,0.3050847457627119,0.6616886846639862
6,AT,1998,LR,0.6741973840665874,0.3050847457627119,0.6616886846639862
0,AT,1998,LR - Youden's J,0.7557932263814616,0.4717285945072698,0.6616886846639862
5,AT,1998,LR - Youden's J,0.7557932263814616,0.4717285945072698,0.6616886846639862
4,AT,1998,NB,0.6741973840665874,0.3050847457627119,0.29063756461803564
9,AT,1998,NB,0.6741973840665874,0.3050847457627119,0.29063756461803564
12,AT,1999,DT,0.7086247086247086,0.36065573770491804,0.6966797974113674
17,AT,1999,DT,0.7086247086247086,0.36065573770491804,0.6966797974113674
13,AT,1999,LDA,1.0,0.0,0.9656724817107485
18,AT,1999,LDA,1.0,0.0,0.9656724817107485
11,AT,1999,LR,1.0,0.0,0.9656724817107485
16,AT,1999,LR,1.0,0.0,0.9656724817107485
10,AT,1999,LR - Youden's J,1.0,0.0,0.9656724817107485
15,AT,1999,LR - Youden's J,1.0,0.0,0.9656724817107485
14,AT,1999,NB,1.0,0.0,0.293190770962296
19,AT,1999,NB,1.0,0.0,0.293190770962296
22,AT,2000,DT,1.0,0.0,0.9680915111378687
27,AT,2000,DT,1.0,0.0,0.9680915111378687
23,AT,2000,LDA,1.0,0.0,0.9680915111378687
28,AT,2000,LDA,1.0,0.0,0.9680915111378687
21,AT,2000,LR,1.0,0.0,0.9680915111378687
26,AT,2000,LR,1.0,0.0,0.9680915111378687
20,AT,2000,LR - Youden's J,1.0,0.0,0.9680915111378687
25,AT,2000,LR - Youden's J,1.0,0.0,0.9680915111378687
24,AT,2000,NB,1.0,0.0,0.3341360626128838
29,AT,2000,NB,1.0,0.0,0.3341360626128838
32,AT,2001,DT,0.7809640024405126,0.3387096774193548,0.7648442092886537
37,AT,2001,DT,0.7809640024405126,0.3387096774193548,0.7648442092886537
33,AT,2001,LDA,0.7809640024405126,0.3387096774193548,0.7648442092886537
38,AT,2001,LDA,0.7809640024405126,0.3387096774193548,0.7648442092886537
31,AT,2001,LR,0.7809640024405126,0.3387096774193548,0.7648442092886537
36,AT,2001,LR,0.7809640024405126,0.3387096774193548,0.7648442092886537
30,AT,2001,LR - Youden's J,0.8427454387489139,0.3618181818181818,0.7648442092886537
35,AT,2001,LR - Youden's J,0.8427454387489139,0.3618181818181818,0.7648442092886537
34,AT,2001,NB,0.7809640024405126,0.3387096774193548,0.32098765432098764
39,AT,2001,NB,0.7809640024405126,0.3387096774193548,0.32098765432098764
42,AT,2002,DT,0.8978060046189377,0.21875,0.873608017817372
47,AT,2002,DT,0.8978060046189377,0.21875,0.873608017817372
43,AT,2002,LDA,1.0,0.0,0.9643652561247216
48,AT,2002,LDA,1.0,0.0,0.9643652561247216
41,AT,2002,LR,1.0,0.0,0.9643652561247216
46,AT,2002,LR,1.0,0.0,0.9643652561247216
40,AT,2002,LR - Youden's J,1.0,0.0,0.9643652561247216
45,AT,2002,LR - Youden's J,1.0,0.0,0.9643652561247216
44,AT,2002,NB,1.0,0.0,0.3106904231625835
49,AT,2002,NB,1.0,0.0,0.3106904231625835
52,AT,2003,DT,0.9463840399002493,0.1206896551724138,0.9175691937424789
57,AT,2003,DT,0.9463840399002493,0.1206896551724138,0.9175691937424789
53,AT,2003,LDA,1.0,0.0,0.9651022864019254
58,AT,2003,LDA,1.0,0.0,0.9651022864019254
51,AT,2003,LR,1.0,0.0,0.9651022864019254
56,AT,2003,LR,1.0,0.0,0.9651022864019254
50,AT,2003,LR - Youden's J,1.0,0.0,0.9651022864019254
55,AT,2003,LR - Youden's J,1.0,0.0,0.9651022864019254
54,AT,2003,NB,1.0,0.0,0.3249097472924188
59,AT,2003,NB,1.0,0.0,0.3249097472924188
62,AT,2004,DT,0.9066666666666666,0.2537313432835821,0.8699664429530202
67,AT,2004,DT,0.9066666666666666,0.2537313432835821,0.8699664429530202
63,AT,2004,LDA,1.0,0.0,0.9437919463087249
68,AT,2004,LDA,1.0,0.0,0.9437919463087249
61,AT,2004,LR,1.0,0.0,0.9437919463087249
66,AT,2004,LR,1.0,0.0,0.9437919463087249
60,AT,2004,LR - Youden's J,1.0,0.0,0.9437919463087249
65,AT,2004,LR - Youden's J,1.0,0.0,0.9437919463087249
64,AT,2004,NB,1.0,0.0,0.32550335570469796
69,AT,2004,NB,1.0,0.0,0.32550335570469796
72,AT,2005,DT,1.0,0.0,0.9573534023204766
77,AT,2005,DT,1.0,0.0,0.9573534023204766
73,AT,2005,LDA,1.0,0.0,0.9573534023204766
78,AT,2005,LDA,1.0,0.0,0.9573534023204766
71,AT,2005,LR,1.0,0.0,0.9573534023204766
76,AT,2005,LR,1.0,0.0,0.9573534023204766
70,AT,2005,LR - Youden's J,1.0,0.0,0.9573534023204766
75,AT,2005,LR - Youden's J,1.0,0.0,0.9573534023204766
74,AT,2005,NB,1.0,0.0,0.3308247099404202
79,AT,2005,NB,1.0,0.0,0.3308247099404202
82,AT,2006,DT,1.0,0.0,0.9606823720552397
87,AT,2006,DT,1.0,0.0,0.9606823720552397
83,AT,2006,LDA,1.0,0.0,0.9606823720552397
88,AT,2006,LDA,1.0,0.0,0.9606823720552397
81,AT,2006,LR,1.0,0.0,0.9606823720552397
86,AT,2006,LR,1.0,0.0,0.9606823720552397
80,AT,2006,LR - Youden's J,1.0,0.0,0.9606823720552397
85,AT,2006,LR - Youden's J,1.0,0.0,0.9606823720552397
84,AT,2006,NB,1.0,0.0,0.34995938261575954
89,AT,2006,NB,1.0,0.0,0.34995938261575954
92,AT,2007,DT,1.0,0.0,0.9569909538168545
97,AT,2007,DT,1.0,0.0,0.9569909538168545
93,AT,2007,LDA,1.0,0.0,0.9569909538168545
98,AT,2007,LDA,1.0,0.0,0.9569909538168545
91,AT,2007,LR,1.0,0.0,0.9569909538168545
96,AT,2007,LR,1.0,0.0,0.9569909538168545
90,AT,2007,LR - Youden's J,1.0,0.0,0.9569909538168545
95,AT,2007,LR - Youden's J,1.0,0.0,0.9569909538168545
94,AT,2007,NB,1.0,0.0,0.35280114267576573
99,AT,2007,NB,1.0,0.0,0.35280114267576573
102,AT,2008,DT,1.0,0.0,0.9566634082763115
107,AT,2008,DT,1.0,0.0,0.9566634082763115
103,AT,2008,LDA,1.0,0.0,0.9566634082763115
108,AT,2008,LDA,1.0,0.0,0.9566634082763115
101,AT,2008,LR,1.0,0.0,0.9566634082763115
106,AT,2008,LR,1.0,0.0,0.9566634082763115
100,AT,2008,LR - Youden's J,1.0,0.0,0.9566634082763115
105,AT,2008,LR - Youden's J,1.0,0.0,0.9566634082763115
104,AT,2008,NB,1.0,0.0,0.36363636363636365
109,AT,2008,NB,1.0,0.0,0.36363636363636365
112,AT,2009,DT,1.0,0.0,0.9546698597331509
117,AT,2009,DT,1.0,0.0,0.9546698597331509
113,AT,2009,LDA,1.0,0.0,0.9546698597331509
118,AT,2009,LDA,1.0,0.0,0.9546698597331509
111,AT,2009,LR,1.0,0.0,0.9546698597331509
116,AT,2009,LR,1.0,0.0,0.9546698597331509
110,AT,2009,LR - Youden's J,1.0,0.0,0.9546698597331509
115,AT,2009,LR - Youden's J,1.0,0.0,0.9546698597331509
114,AT,2009,NB,1.0,0.0,0.37256243585357507
119,AT,2009,NB,1.0,0.0,0.37256243585357507
122,AT,2010,DT,0.9446064139941691,0.18250950570342206,0.909754825247783
127,AT,2010,DT,0.9446064139941691,0.18250950570342206,0.909754825247783
123,AT,2010,LDA,1.0,0.0,0.9542688228134237
128,AT,2010,LDA,1.0,0.0,0.9542688228134237
121,AT,2010,LR,1.0,0.0,0.9542688228134237
126,AT,2010,LR,1.0,0.0,0.9542688228134237
120,AT,2010,LR - Youden's J,1.0,0.0,0.9542688228134237
125,AT,2010,LR - Youden's J,1.0,0.0,0.9542688228134237
124,AT,2010,NB,1.0,0.0,0.3987132672578682
129,AT,2010,NB,1.0,0.0,0.3987132672578682
132,AT,2011,DT,1.0,0.0,0.9524982406755805
137,AT,2011,DT,1.0,0.0,0.9524982406755805
133,AT,2011,LDA,1.0,0.0,0.9524982406755805
138,AT,2011,LDA,1.0,0.0,0.9524982406755805
131,AT,2011,LR,1.0,0.0,0.9524982406755805
136,AT,2011,LR,1.0,0.0,0.9524982406755805
130,AT,2011,LR - Youden's J,1.0,0.0,0.9524982406755805
135,AT,2011,LR - Youden's J,1.0,0.0,0.9524982406755805
134,AT,2011,NB,1.0,0.0,0.4005981703026038
139,AT,2011,NB,1.0,0.0,0.4005981703026038
142,AT,2012,DT,0.9439252336448598,0.22448979591836735,0.9071465832029212
