,country,year,type,TN,TP,accuracy
2,DE,1999,DT,0.7506861848124429,0.2770745428973277,0.7150713907985193
3,DE,1999,LDA,0.7948307410795974,0.21659634317862167,0.7513484928609202
1,DE,1999,LR,0.7948307410795974,0.21659634317862167,0.7513484928609202
0,DE,1999,LR - Youden's J,0.8463659961064244,0.30416286842904894,0.7513484928609202
4,DE,1999,NB,0.7948307410795974,0.21659634317862167,0.33262823902696986
7,DE,2000,DT,0.7667705807643459,0.20166898470097358,0.723454157782516
8,DE,2000,LDA,1.0,0.0,0.9233475479744137
6,DE,2000,LR,1.0,0.0,0.9233475479744137
5,DE,2000,LR - Youden's J,1.0,0.0,0.9233475479744137
9,DE,2000,NB,1.0,0.0,0.33912579957356076
12,DE,2001,DT,1.0,0.0,0.9274965800273598
13,DE,2001,LDA,1.0,0.0,0.9274965800273598
11,DE,2001,LR,1.0,0.0,0.9274965800273598
10,DE,2001,LR - Youden's J,1.0,0.0,0.9274965800273598
14,DE,2001,NB,1.0,0.0,0.33431547932231925
17,DE,2002,DT,1.0,0.0,0.9333404210078673
18,DE,2002,LDA,1.0,0.0,0.9333404210078673
16,DE,2002,LR,1.0,0.0,0.9333404210078673
15,DE,2002,LR - Youden's J,1.0,0.0,0.9333404210078673
19,DE,2002,NB,1.0,0.0,0.351477780140336
22,DE,2003,DT,1.0,0.0,0.9328020676286883
23,DE,2003,LDA,1.0,0.0,0.9328020676286883
21,DE,2003,LR,1.0,0.0,0.9328020676286883
20,DE,2003,LR - Youden's J,1.0,0.0,0.9328020676286883
24,DE,2003,NB,1.0,0.0,0.35903510661210425
27,DE,2004,DT,1.0,0.0,0.9354053755115584
28,DE,2004,LDA,1.0,0.0,0.9354053755115584
26,DE,2004,LR,1.0,0.0,0.9354053755115584
25,DE,2004,LR - Youden's J,1.0,0.0,0.9354053755115584
29,DE,2004,NB,1.0,0.0,0.37086605463997346
32,DE,2005,DT,1.0,0.0,0.9151600474214582
33,DE,2005,LDA,1.0,0.0,0.9151600474214582
31,DE,2005,LR,1.0,0.0,0.9151600474214582
30,DE,2005,LR - Youden's J,1.0,0.0,0.9151600474214582
34,DE,2005,NB,1.0,0.0,0.38878186129223474
37,DE,2006,DT,1.0,0.0,0.9173387096774194
38,DE,2006,LDA,1.0,0.0,0.9173387096774194
36,DE,2006,LR,1.0,0.0,0.9173387096774194
35,DE,2006,LR - Youden's J,1.0,0.0,0.9173387096774194
39,DE,2006,NB,1.0,0.0,0.3864247311827957
42,DE,2007,DT,1.0,0.0,0.9159322033898305
43,DE,2007,LDA,1.0,0.0,0.9159322033898305
41,DE,2007,LR,1.0,0.0,0.9159322033898305
40,DE,2007,LR - Youden's J,1.0,0.0,0.9159322033898305
44,DE,2007,NB,1.0,0.0,0.4088135593220339
47,DE,2008,DT,0.9298380878951427,0.17333333333333334,0.8514167242570836
48,DE,2008,LDA,1.0,0.0,0.8963372494816862
46,DE,2008,LR,1.0,0.0,0.8963372494816862
45,DE,2008,LR - Youden's J,1.0,0.0,0.8963372494816862
49,DE,2008,NB,1.0,0.0,0.4416033172080166
52,DE,2009,DT,0.9082905355832722,0.1388888888888889,0.8347710683477106
53,DE,2009,LDA,0.9787234042553191,0.034722222222222224,0.8885202388852024
51,DE,2009,LR,1.0,0.0,0.9044459190444591
50,DE,2009,LR - Youden's J,1.0,0.0,0.9044459190444591
54,DE,2009,NB,0.9787234042553191,0.034722222222222224,0.42932979429329793
57,DE,2010,DT,0.7011922503725783,0.4473684210526316,0.6813186813186813
58,DE,2010,LDA,0.812220566318927,0.20175438596491227,0.7644230769230769
56,DE,2010,LR,0.812220566318927,0.20175438596491227,0.7644230769230769
55,DE,2010,LR - Youden's J,0.8837656099903939,0.3710843373493976,0.7644230769230769
59,DE,2010,NB,0.812220566318927,0.20175438596491227,0.44505494505494503
62,DE,2011,DT,1.0,0.0,0.9150877192982456
63,DE,2011,LDA,1.0,0.0,0.9150877192982456
61,DE,2011,LR,1.0,0.0,0.9150877192982456
60,DE,2011,LR - Youden's J,1.0,0.0,0.9150877192982456
64,DE,2011,NB,1.0,0.0,0.44912280701754387
